NAV-HEADER;Leveranciers;;;;;;;;16448250;75;457;1277;FALSE
NAV-ITEM;Leveranciers;Leverancier;;;;;;;16777215;106;480;1266;FALSE
BUTTON;Leveranciers;Leverancier;;;btn_new;dd_sup_dd_sup_supplier_lst_frm;;;11648206;690;69;1282;FALSE
FIELD;Leveranciers;Leverancier;;;fld_supplier_name;dd_sup_dd_sup_supplier_new_dlg_frm_wiz1;;;16777215;700;201;1287;EDIT
INPUT;Leveranciers;Leverancier;;;fld_supplier_name;Testklant;;;16777215;700;201;779;FALSE
KEY;Leveranciers;Leverancier;;;fld_supplier_name;ENTER;;;16777215;700;201;777;FALSE
BUTTON;Leveranciers;Leverancier;;;btn_nextStep;dd_sup_dd_sup_supplier_new_dlg_frm_wiz1;;;8241637;654;165;1283;FALSE
FIELD;Leveranciers;Leverancier;;;fld_zipcode_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;712;290;1270;EDIT
FIELD;Leveranciers;Leverancier;;;fld_street_nr_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;858;268;1280;EDIT
KEY;Leveranciers;Leverancier;;;fld_street_nr_req;BACKSPACE;;;16777215;858;268;778;FALSE
FIELD;Leveranciers;Leverancier;;;fld_zipcode_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;734;291;1289;EDIT
INPUT;Leveranciers;Leverancier;;;fld_zipcode_req;3555TZ;;;16777215;734;291;763;FALSE
FIELD;Leveranciers;Leverancier;;;fld_street_nr_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;852;268;1286;EDIT
INPUT;Leveranciers;Leverancier;;;fld_street_nr_req;40;;;16777215;852;268;776;FALSE
FIELD;Leveranciers;Leverancier;;;fld_phonenumber;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;736;333;1293;EDIT
INPUT;Leveranciers;Leverancier;;;fld_phonenumber;0612121212;;;7253247;736;333;774;FALSE
FIELD;Leveranciers;Leverancier;;;fld_lastname_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;700;623;1290;EDIT
INPUT;Leveranciers;Leverancier;;;fld_lastname_req;Test/afdeling;;;8902399;700;623;761;FALSE
FIELD;Leveranciers;Leverancier;;;account_nr_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;1136;506;1282;EDIT
INPUT;Leveranciers;Leverancier;;;account_nr_req;NL32RABO0398711771;;;16770303;1136;506;772;FALSE
BUTTON;Leveranciers;Leverancier;;;btn_save;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;6422584;645;166;1284;FALSE
FIELD;Leveranciers;Leverancier;;;fld_pricesetting_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;7500921;1120;615;1289;EDIT
FIELD;Leveranciers;Leverancier;;;fld_warehouseLocation_req;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;11119789;1125;637;1287;EDIT
BUTTON;Leveranciers;Leverancier;;;btn_save;dd_sup_dd_sup_supplier_new_dlg_frm_wiz2;;;16777215;649;165;1282;FALSE
SLUIT;99;177
